schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
SIXTHXHOSAWAR;\n\nXhosa border conflicts rage on, with no end in sight, but today's raid on the Cape Colony by the chief Maqoma's army was particularly brutal. They swept across the British settlements along the Keiskamma River, pillaging homes, razing farmland, and killing all those who resisted. The Cape government must mount a swift retaliation if we are to put these raids to an end.;;;;;;;;;;;;;
ARG_prov_gov_conservative;The Unitarian League;;;;;;;;;;;;;
ARC_prov_gov_conservative;The Federal League;;;;;;;;;;;;;
BATTLEOFONCATIVO;\n\nFederalist forces commanded by Juan Facundo Quiroga departed from Mendoza in early January to invade Córdoba. Upon reaching Oncativo, about 25 miles outside the capital of Córdoba, they paused, waiting for reinforcements from La Rioja and Catamarca. In doing so, they allowed themselves to be caught by Unitarian forces led by General José María Paz, who had set out from Anisacate in mid-February. The Unitarian forces attacked in three columns, focusing on the left flank of the Federalists. After hard fighting, a Unitarian cavalry charge routed the Federalist cavalry, leaving their infantry exposed. Their position hopeless, the majority of the Federalist infantry surrendered, although general Juan Facundo Quiroga himself evaded capture. This Unitarian victory led the interior provinces of Catamarca, Córdoba, Jujuy, La Rioja, Mendoza, Salta, San Juan, San Luis, Santiago del Estero, and Tucumán to form the Unitarian League.;;;;;;;;;;;;;
UNITARIANLEAGUE;\n\nGeneral José María Paz has declared the formation of the Unitarian League, or the League of the Interior, comprising the western provinces of La Plata. The leaders of these provinces seek to restore the unitarian form of government that existed previously under president Bernardino Rivadavia. Rivadavia's presidency had ended with his resignation when faced with revolts in several provinces. He was succeeded by Manuel Dorrego, who dissolved the constitution, returned autonomy to the provinces, and reconstituted the nation as a confederation. If the Unitarian League succeeds, La Plata will return to being a state with a strong central government. If it fails, the nation will remain an association of autonomous provinces ruled by a collection of caudillos.;;;;;;;;;;;;;;
FEDERALPACT;\n\nIn response to the formation of the Unitarian League, representatives of Santa Fe, Entre Ríos, Corrientes, and Buenos Aires met in 1830 to form an alliance between their provinces. And although disputes over international trade caused Corrientes to withdraw from the initial negotiations, the other three provinces formed the Federal Pact in early 1831. The agreement guaranteed free trade between the member provinces and promised mutual defense against invasions by other provinces, but otherwise each province remained mostly independent in how it handled its affairs. Thus, under the pact, La Plata remains a loose confederation and has no central government.;;;;;;;;;;;;;;
UNITARYLEAGUEWAR;\n\nA Federalist division, led by colonel Pacheco, has ambushed the Second Unitarian Cavalry, led by colonel Pedernera, and several Unitarian militia units at Fraile Muerto. During the fighting, a number of the Unitarian troops switched sides. Many of them had served previously under the Federalist Facundo Quiroga and were conscripted into the Unitarian army, and their sympathies remained with the Federalists. The Unitarian forces were soundly defeated, and some see Pacheco's victory as a sign that the tide may be turning against the Unitarians.;;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
PAZCAPTURED;\n\nAs the war turned against the Unitarians, General Paz himself led a reconnaissance mission in preparation for the defense of Córdoba. Unfortunately for him, Federalist troops were already in the region. Without even knowing that they were in danger, his party stumbled into a Federalist patrol and was captured. Paz is now imprisoned in Santa Fé by the order of General Estanislao López. Without his leadership, the Unitarian army has been disbanded, and their cause is lost.;;;;;;;;;;;;;;
UNITARIANISMREVIVED;\n\nWith the Unitarian victory, the Unitarians are once again in control over Buenos Aires and the rest of the country, and Argentina will be united again. Soon, the days Argentina's division into the personal holdings of powerful caudillos will end, as we prop up governors in the Federalists strongholds of Mesopotamia.\n\n Now the attention will be into restoring the ideological Rivadavist government trying to undo the damage that years of anarchy and Federalist rule caused. Who can say what destiny has in store for Argentina?;;;;;;;;;;;;;;
occupy_falklands_title;Reoccupy the Falklands;;;;;;;;;;;;;
occupy_falklands_desc;We have maintained that we are the rightful owners of the Falkland Islands following the conclusion of the 1771 crisis with Spain. However, the islands have proven to be of little practical value, and we no longer maintain an active presence there. Starting in the mid 1820s, the Argentinian government has begun asserting that they are the rightful owners, even going so far as to establish a small colony there. And we have not intervened because we were unwilling to test the American Monroe doctrine. However, the Argentinian governor has blundered: He has angered the Americans and the U.S.S. Lexington has razed the Argentinian colony. We could easily reassert our sovereignty with a military expedition without angering the Americans.;;;;;;;;;;;;;;
MALVINASSONBRITANICAS;\n\nThe British government has unlawfully seized the Islas Malvinas from us. After our colony there had been destroyed by the Americans, they dispatched the H.M.S. Clio to take control of the islands. Although one of our own warships, the Sarandi, was present, its commander did not feel that he was in a position to resist the British troops. All he could do was protest when their marines landed and replaced our flag with the Union Jack. And, to cement their claims, the British have established a small naval base there.\n\nOur government sees this as a gratuitous exercise of "the right of the strongest," and we have lodged an official complaint to that effect with them. The Argentinian people are also incensed, and anti-British sentiments are found in every newspaper.;;;;;;;;;;;;;;
bolivia_annexes_peru_title;Invade Perú;;;;;;;;;;;;;
bolivia_annexes_peru_desc;Perú is in anarchy, wracked by an insurgency against acting president Luis de Obregoso by Felipe Salaverry. In desperation to hold onto power, Obregoso has petitioned our general Andrés de Santa Cruz to invade Perú and quash the rebels. This would lead to an upending of Latin America's balance of power: a union between Bolivia and Perú, creating a regional powerhouse.\n\n§RWarning: You have to merge the brigades that are generated by this decision§W;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
INCORPORATIONOFTORONTO;\n\nThe Lower Canadian town of York has grown into a significant town and, thus, is beginning to emerge as a great city within North America. Situated on a water channel called "Tarontho," between the Lakes Simcoe and Cachinching, and standing in the shadow of Lake Ontario, York makes for an ideal settlement and industrial hub. Thus, the colonial government has deemed it necessary today to incorporate York and its environs into a new city named after the Tarontho channel. The city of Toronto shall serve as a new metropolis, calling to the populace of all of Canada and beyond.;;;;;;;;;;;;;
ottoman_invasion_iraq_title;End Mamluk Rule in Baghdad;;;;;;;;;;;;;
ottoman_invasion_iraq_desc;The Mamluk Dynasty has increasingly autonomously governed Mesopotamia from Baghdad since 1704. While they have imposed order and some degree of economic prosperity in the region, Dawud Pasha, the current Mamluk leader has shown signs of disloyalty. We will not truly have the region under our control unless we depose him and end Mamluk rule once and for all. It is time to send an envoy to establish control over Mesopotamia. §RWill take about a month to have an effect.§!;;;;;;;;;;;;;
ottoman_invasion_jazira_title;End Jalili Rule in Mosul;;;;;;;;;;;;;
ottoman_invasion_jazira_desc;The Jalili Dynasty has ruled Mosul for more than one hundred years, and has made the city rich and a center of trade. With our current move to centralize the empire, we should send a new ruler to Mosul that is less autonomous. §RWill take about a month to have an effect.§!;;;;;;;;;;;;;
OTTOSMOSULAGAINTWO;\n\nThe Jalili Dynasty has finally been deposed by the ruler we sent, and Mosul is now completely under our control.;;;;;;;;;;;;;
OTTOSMOSULAGAINTHREE;\n\nThe Jalili Dynasty has assassinated the ruler we had sent to establish control over Mosul. This is a clear sign that the Jalili have decided to disobey our calls and establish their own independence.;;;;;;;;;;;;;
OTTOSINVADEMAMLUKIEAQ;\n\nSultan Mahmud II has dispatched an army to take control of Mesopotamia. With the ongoing centralization of the Ottoman Empire, growing mistrust of Dawud Pasha's rule in Baghdad has long been on the rise in Konstantiniyye. Now that the Ottomans have taken action, we must fight to continue Mamluk rule. If we lose, our proud dynasty will come to an end and never rule again.;;;;;;;;;;;;;
OTTOSMAMLUKIEAQAGAINTWO;\n\nOur envoy has arrived to Baghdad and successfully established a new ruler in Baghdad, de facto annexing the region.;;;;;;;;;;;;;
OTTOSMAMLUKIEAQAGAINTHREE;\n\nThe envoy we sent to Baghdad has apparently been assassinated by the Mamluk rulers of Baghdad, in a clear sign of insubordination. We must launch an expedition to regain control in Iraq-i Arabi, otherwise we might lose it to the Qajar.;;;;;;;;;;;;;
BAGHDADISGONEONE;\n\nThe Ottoman Empire has successfully deposed the Mamluk ruler of Baghdad and established control in the region. This is a part of the Porte's move to centralize the empire and directly tax its inhabitants, and is directly detrimental to our autonomy. We now directly border them, and they have strengthened their control over Baghdad and Bashrah. We must weigh our options soon or we might suffer the same fate as the Mamluks.;;;;;;;;;;;;;
BAGHDADISGONETWO;\n\nThe Ottoman Empire has declared war on the Mamluks of Baghdad after they assassinated an envoy that had to depose them. This is a part of the Porte's move to centralize the empire and directly tax its inhabitants, and is directly detrimental to our autonomy. We must weigh our options before we inevitably get annexed.;;;;;;;;;;;;;
NORMAL_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
AGRESSION_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
ottoman_invasion_tripoli_title;Restore Order to Tripolitania;;;;;;;;;;;;;
ottoman_invasion_tripoli_desc;Our vassals in Tripolitania have been unstable for quite a while, and have now fully let their country fall into a civil war. As we saw in Algeria, letting a vassal become ever more autonomous and separate from Konstantiniyye gives colonial powers the opportunity to conquer them. This is our chance to take control of Tripolitania once and for all.;;;;;;;;;;;;;
BLACKWAR;\n\nEver since Europeans arrived on Australia, there has been conflict between the native Aboriginal peoples and the colonizers. The Black War, or the Tasmanian War as some call it, has plagued the island since 1803 when the first major settlements were established. The Aboriginal's skirmishes with the colonists more than doubled in intensity during the 1820s as a result of the settlers' continued attempts at killing the native people. Between 1826 and 1828 there were multiple major massacres resulting in the deaths of 408 Aboriginal Tasmanians and 61 British settlers. In 1830, lieutenant-governor George Arthur ordered 2,200 men, consisting of soldiers and free citizens, to persecute and forcibly relocate four out of the nine Aboriginal nations into a "reservation". The 31st of December 1831 officially marks the end of the Black War as the last resisting tribes whose numbers had dwindled to 28 people have surrendered after years of persecution and genocide.;;;;;;;;;;;;;
BLACKWAROPT;Tasmania is now at peace -- but at what cost?;;;;;;;;;;;;;
LEAGUEWAR;\n\nThe Costa Rican government has repealed the so-called "Ambulance Law," the legal practice of rotating the country's capital between four cities. Authorities have squabbled over what should be the Costa Rican capital ever since its independence from Spain, but traditionally its provincial capital under Spanish rule had been the city of Cartago. After independence, however, the capital switched to San José, to some protest that prompted the federal government to create four equal-status capitals. This changed when the current head of state, Braulio Carrillo Colina, repealed the Ambulance Law, cementing San José as the sole Costa Rican capital. Paramilitaries of the four other former capitals--Cartago, Alajuela, and Heredia--have mobilized to force the law's re-enactment.;;;;;;;;;;;;;
LEAGUEWAROPT;What an odd reason to start a war.;;;;;;;;;;;;;
KOLUPRISING;\n\nThe Kol people of Chota Nagpur, Jharkhand, have risen up in response to the annexation of their tribal lands. These annexations caused settlers from other parts of the East India Company's territories to move in, then exploit the Kol people's labor. Resenting their situation, bands of Kols, as well as other adivasi--tribal--peoples, have begun wreaking havoc through random acts of banditry. They hope to drive the British out.;;;;;;;;;;;;;
KOLUPRISINGOPT;They're playing with fire. We'll burn them.;;;;;;;;;;;;;
TITHEWAR;\n\nTithe payments are a tax imposed on farmers in Ireland. They pay 10 percent of the value of their agricultural produce to the clergy for the sake of financing the church. This has been a rather unpopular tax within the Catholic Irish communities, resulting in multiple clashes and protests. The "war" took a turn in 1831 when the Irish Constabulary fired on people resisting payments, killing 12 and wounding another 20. This event led anti-tithe protesters to ambush 40 Constabularies, killing 12, including the Chief Constabulary. Today, 200,000 people have gathered in Ballyhale in support of those being charged for the events that resulted in the 1831 killings.;;;;;;;;;;;;;
TITHEWAROPT;This could end badly.;;;;;;;;;;;;;
ALBANIA1833;\n\n4,000 Albanian rebels have surrounded the marketplace in Iskodra to demand the abolition of taxes and the restoration of privileges the Sultan had revoked with the recent change in Pasha. Their anarchy may have real grievances, but the Sultan's word is absolute. How should we deal with them?;;;;;;;;;;;;;
ALBANIA1834;\n\nAlbanians in Telepanë have taken to the streets to protest the appointing of Emin Pasha as governor. The son of Mehmet Reshit Pasha, the mastermind of the Monastir Vizier Massacre, the Albanian people believe Emin will turn out much like his father: a tyrant who opposes all pleas for Albanian autonomy. How shall we proceed?;;;;;;;;;;;;;
ALBANIA1835;\n\nWith our promise to the Albanians of appointing a moderate governor of local origin broken, another rebellion has cropped up in Berat. Their insurrection culminated in the forming of a provisional government, under which negotiations for autonomy broke down and led to the siege of Berat castle by the rebels. The committee's military commander, Tafil Buzi, has called for his comrades to commence the liberation of all Albania.;;;;;;;;;;;;;
france_trolling_portugal_title;Forcing Recognition by Portugal;;;;;;;;;;;;;
france_trolling_portugal_desc;Portugal's absolute monarch, Dom Miguel I, has refused to recognize the legitimacy of the July Monarchy. Miguel, nicknamed 'The Absolutist', abolished the constitution and became the total ruler of Portugal several years ago. This of course motivates him to not recognize our revolutionary monarch. With the OK of Britain and Spain who also oppose absolutism in Portugal, we may dispatch a naval expedition to Lisbon to use gunboat diplomacy to force Miguel's hand in the recognition of the July Monarchy. If not, our navy shall have a little target practice.;;;;;;;;;;;;;
FRANCEDEMANDSBINGCHILLING;\n\nLouis-Philippe, king of France, seized power in a revolution against Charles X of Bourbon in 1830. This illegitimate rebel king has now dispatched a naval squadron to demand we recognize his rule in a 48-hour ultimatum. Their navy may be more than a match for ours.;;;;;;;;;;;;;
PORTUGALRECOGNIZESFRA;\n\nDom Miguel I has recognized king Louis-Philippe and the July Monarchy under the threat of the guns of our naval squadron. While this admission is certainly not genuine, it still has the desired effect of bringing Portugal in line and further legitimizing the July Monarchy internationally.;;;;;;;;;;;;;
BATTLETAGUS;\n\nOur navy has been obliterated by the French. Our only ship of the line, Dom João VI, was in such disrepair that it could not engage the French. The two frigates, Diana and Pérola, were massively outgunned by the three French ships of the line despite support by corvettes, brigs and a brigantine. Humiliatingly, the French have captured our ships as prizes to serve in their own navy. Maybe by agreeing to their initial demands we can save some of our ships.;;;;;;;;;;;;;
BATTLETAGUSRECOG;\n\nWe have obliterated the Portuguese navy. Their only ship of the line, Dom João VI, was in such disrepair that it could not engage our squadron. The two Portuguese frigates, Diana and Pérola, were massively outgunned by three of our ships of the line despite support by corvettes, brigs and a brigantine. Now, our triumphant navy has returned with the captured Portuguese ships - new additions for our navy.;;;;;;;;;;;;;
BATTLETAGUSNORECOG;\n\nWe have obliterated the Portuguese navy. Their only ship of the line, Dom João VI, was in such disrepair that it could not engage our squadron. The two Portuguese frigates, Diana and Pérola, were massively outgunned by three of our ships of the line despite support by corvettes, brigs and a brigantine. Now, our triumphant navy has returned with the captured Portuguese ships - new additions for our navy.;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_VNZ_VNR;The Reformist Revolution;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_VNZ_VNR;The Reformist Revolution;;;;;;;;;;;;;
NORMAL_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
AGRESSION_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
BANIKHALID;\n\nThe Bani Khalid Emirate, once powerful enough to drive the Ottomans from the Persian Gulf, has suffered a long decline. Until recently, they barely existed, as their tribal confederation fractured further with the loss of confidence in leadership. In a final battle, we have now defeated out the last of the forces of the Bani Khalid, sealing their fate forever.;;;;;;;;;;;;;
LIBERALAZORES;\n\nThe Liberal forces of Dom Pedro, ex-Emperor of Brazil and Regent for his daughter Maria da Glória, the claimant to the throne, have landed in the Azores and defeated our garrison. They dispute the legitimacy of Dom Miguel I and are supported by liberal agitants in Portugal who chafe under Dom Miguel I's absolutist rule.;;;;;;;;;;;;;
DOMPEDRODED;\n\nExcept for bouts of epilepsy that manifested in seizures every few years, Pedro had always enjoyed robust health. The war, however, undermined his constitution and he has now died of tuberculosis after a long and painful illness. One of his last acts was to dictate an open letter to Brazil: 'Slavery is an evil, and an attack against the rights and dignity of the human species, but its consequences are less harmful to those who suffer in captivity than to the Nation whose laws allow slavery. It is a cancer that devours its morality.' He will always be remembered for having ousted the tyrannical Dom Miguel I and having brought constitutionalism to Portugal.;;;;;;;;;;;;;
MINDELOLANDING;\n\nLiberal forces loyal to Dom Pedro have landed at Mindelo, seeking to overthrow his brother Dom Miguel, who has usurped the throne. With them, they have 60 ships and 7500 men, consisting of Constitutionalist forces loyal to Queen Maria II and her regent Dom Pedro, as well as a number of foreign volunteers. The landing caught the Absolutist forces by surprise, and Porto was captured swiftly thereafter.;;;;;;;;;;;;;
MINDELOLANDINGOPT;Dom Miguel will remain in power.;;;;;;;;;;;;;
MINDELOLANDINGMPR;Dom Pedro will be our Liberator! §BPlay as the Constitutionalists§W;;;;;;;;;;;;;
BATTLEPONTEFERREIRA;\n\nOur forces, pursued by Miguelite troops, have been forced to retreat to the safety of Porto after a failed attack on a larger Miguelite army. At 3 AM our forces launched another attack on the Miguelite army. The Miguelites eventually retreated following heavy casualties, but the battle would prove indecisive: Another Miguelite force has been spotted approaching the city of Porto from the south of the river Douro. Our forces have now retreated back into the city to hold its fortifications.;;;;;;;;;;;;;
BATTLEPONTEFERREIRAMIGUELIST;\n\nThe Constitutionalist forces, pursued by our troops, have been forced to retreat to the safety of Porto after a failed attack on our superior army. At 3 AM the constitutionalist forces launched another attack on our army, forcing us to eventually retreat following heavy casualties, but the battle would prove indecisive: We have organized another force that is approaching the city of Porto from the South of the river Douro. The constitutionalists have now retreated back into the city to hold its fortifications.;;;;;;;;;;;;;
BATTLEPONTEFERREIRAOPT;They will have to fully siege us down!;;;;;;;;;;;;;
CERCODOPORTO;\n\nA joint Miguelite army commanded by General Gaspar Teixeira, consisting of 2 forces led by General Álvaro Póvoas and Viscount Manuel Gregório de Sampaio of Santa Marta has surrounded the city of Porto in a siege. Dom Pedro in response sent out a column to attack Valongo, which was subsequently ambushed by a Miguelite force. The city of Porto itself is surrounded by a series of strongholds, and will be tough for the Miguelite army to break. §RYou will have a year to prepare before the war starts in 1833.§!;;;;;;;;;;;;;
CERCODOPORTOMIGUELIST;\n\nOur army commanded by General Gaspar Teixeira, consisting of 2 forces led by General Álvaro Póvoas and Viscount Manuel Gregório de Sampaio of Santa Marta has surrounded the city of Porto in a siege. Dom Pedro in response sent out a column to attack Valongo, which was subsequently ambushed by our forces. The city of Porto itself is surrounded by a series of strongholds, and will be tough for our army to break. §RYou will have a year to prepare before the war starts in 1833.§!;;;;;;;;;;;;;
CERCODOPORTOOPT;We will bide our time.;;;;;;;;;;;;;
BATTLESTVINCENT;\n\nOur navy commanded by British naval officer and Vice Admiral of the Portuguese navy Charles Napier has today defeated the Miguelite navy off the coast of Cape St. Vincent! Even though the Constitutionalist fleet was outnumbered by the Miguelites, the battle proved to be a decisive victory for the Liberal side. A bold tactic of closing in- and boarding the numerically superior Miguelite ships, Napier managed to secure Constitutionalist naval supremacy, as well as capturing 4 ships of the line, 1 frigate, and 1 corvette. The result of this engagement means the siege of Porto has been broken, and full out war will break out imminently!;;;;;;;;;;;;;
BATTLESTVINCENTOPT;Portugal will rid itself of tyranny.;;;;;;;;;;;;;
BATTLESTVINCENTMPR;\n\nThe Constitutionalists have defeated our naval blockade of Porto commanded by naval officer Manuel Marreiros. Even with our superior numbers and ships of the line, the Constitutionalists managed to secure victory by boarding our ships, and are now able to threaten our southern coasts. The naval blockade of Porto is over, and the true ruler of Portugal will now have to defeat the pretender in field of battle.;;;;;;;;;;;;;
BATTLESTVINCENTMPROPT;Honrai a Pátria que a Pátria vos contempla!;;;;;;;;;;;;;
COVADAPIEDADE;\n\nThe Constitutionalist forces have landed in the south of Portugal, led by Captain General António de Noronha. The army landed near Faro, and started its march up north through Alentejo towards the capital, Lisbon. The Miguelites responded by hastily gathering forces to stop the Constitutionalists from advancing and capturing the capital, resulting in a clash at Cova de Piedade. The Miguelites eventually get driven back into the Castle of Almada, which is captured by the Liberal forces a day later. Now that the way to Lisbon lays unopposed, there is nothing to stop the Constitutionalists from taking the city.;;;;;;;;;;;;;
COVADAPIEDADEOPT;We shall come out on top.;;;;;;;;;;;;;
COVADAPIEDADEMPR;\n\nOur forces have landed in the south of Portugal, led by Captain General António de Noronha. The army landed near Faro, and started its march up north through Alentejo towards the capital, Lisbon. The Miguelites have responded by hastily gathering forces to stop the Constitutionalists from advancing and capturing the capital, resulting in a clash at Cova de Piedade. The Miguelites eventually get driven back into the Castle of Almada, which is captured by our forces a day later. Now that the way to Lisbon lays unopposed, there is nothing to stop us from taking the city.;;;;;;;;;;;;;
MPRLOSES;\n\nThe Miguelite army, led by General Guedes, set camp on a strong position at the Heights of Asseiceira. Our troops have been deployed to attack their position in three columns, commanded by Colonels Quierós, Nepomuceno and Vasconcelos, which were in turn led by Captain General António de Noronha who was responsible for the capture of Lisbon. The battle was a resounding success for our armies, resulting in Dom Miguel failing to rally his officers behind him for another battle. This marks the end of the civil war, with the usurper Miguel capitulating his title and claim, and being banished from the kingdom.;;;;;;;;;;;;;
MPRLOSESOPT;Deus, Pátria, Rei;;;;;;;;;;;;;
PORLOSES;\n\nThe enemy forces have been crushed, and routed in one decisive victory at the Heights of Asseiceira. The commander of our forces set up camp on the defensive hills and showed an outstanding use of artillery, halting the enemy attack. The success of this victory, resulted in our forces taking back Lisbon within a week.;;;;;;;;;;;;;
PORLOSESOPT;And may he stay there.;;;;;;;;;;;;;
MPR;Constitutionalist Portugal;;;;;;;;;;;;;
MPR_ADJ;Constitutionalist;;;;;;;;;;;;;
LAGRANJA;\n\nInspired by the 1830 French Revolution, exiled Spanish liberals have organized many unsuccessful military coups--known as pronunciamentos in Spanish--to re-establish the 1812 Constitution and end Fernando VII's absolute monarchy. The most notable of these was the pronunciamento of general José Torrijos, who ended up shot. The latest to occur was today, in the palace of La Granja, where King Fernando resides. On the 16th, Ferdinand's health took a turn for the worse, and he was expected to die at any moment. His wife, María Cristina, was then betrayed by the top brass in the army, who refused to acknowledge her regency. Thus, she influenced her husband to revoke the Pragmatic Sanction, preventing Carlos Isidro from ascending the throne. On the 18th, Fernando's father, Carlos IV, as regent annulled the Salic law of succession in the Spanish monarchy, attempting to make the royal line patrilineal. But today, unexpectedly, Ferdinand VII has recovered his health, dismissed ministers supporting Carlos's ascension, and repealed his father's decree, making Isabel the heir to the throne again.;;;;;;;;;;;;;
LAGRANJAOPT;And they fail... again.;;;;;;;;;;;;;
1835TREATYOFLISBOA;\n\nToday an agreement between Portugal and Spain has been signed to guarantee both nations free navigation of the Douro River and the use of Porto and Fregeneda as customs ports, bringing prosperity to this sparsely inhabited area in the center of our nation. Let us hope that this treaty will lead to more future cooperation between Spain and Portugal.;;;;;;;;;;;;;
1835TREATYOFLISBOAOPT;A little roadblock passed.;;;;;;;;;;;;;
TORRIJOSPRONOUNCEMENT;\n\nLiberals launched another pronunciamento today in Málaga, though it failed after its organizers fell into a trap set by our navy and the captain general of Andalusia. In May, the insurgent general José María Torrijos presented his plan for this insurrection, consisting of a "circumferential" penetration of the country to attack the center, Madrid, from various points. They would pick up liberal sympathizers along the way to encircle the capital, hoping their numbers would suffice to overwhelm the Spanish army. But first, they were to cross into Spanish territory from Gibraltar, with Torrijos leading them, to signal the uprising's start. Málaga's governor confided anonymously to Torrijos in September that the best place for the landing would be the coast of Málaga, where he would be assured of the support of local garrisons. On November 30th, two boats with sixty men headed by Torrijos left Gibraltar. They found their destination after forty hours of travel - however, they were met with gunfire from the docked Spanish ship Neptune, and the conspirators have now all been executed.;;;;;;;;;;;;;
TORRIJOSPRONOUNCEMENTOPT;They will never win!;;;;;;;;;;;;;
FIRSTCARLISTWAR;\n\nToday, contingents of an ideology called "Carlism"--nicknamed after Fernando VII's brother and Spain's heir apparent, Carlos María Isidro--have taken up arms against the regency of María Cristina de Borbón. Catalonia, Aragon, Vasconia and Valencia run red with blood, and their populations, blinded by Carlism, are fighting for them. The Carlist uprisings are fueled by Fernando VII's death and the enactment of the Pragmatic Sanction, a liberal law to allow Isabel II to be the heir to the throne. For Isabel to take the throne instead of the megalomaniacal Carlos would mean a new era of prosperity for the nation. Viva Isabel!;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_SPA_SPC;The First Carlist War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_SPA_SPC;The First Carlist War;;;;;;;;;;;;;
BULLANGADE1835;\n\nFueled by the anticlerical riots taking place elsewhere in Spain, Catalonia has erupted into chaos and hatred toward the clergy. The burning of convents have become frequent occurrences, and resistance against Carlism from the most liberal sectors is growing rapidly. On the 19th, due to these burnings, members of an urban militia from Tarragona participated in combat with a Carlist contingent. Seven people were arrested, tortured and killed by the Carlists. Catalonia has fallen again to intense conflict over the future of the Spanish monarchy. \n\n§RWarning: You have to merge the brigades that are generated by this decision§W;;;;;;;;;;;;;
BULLANGADE1835SPC;\n\nFueled by the anticlerical riots taking place elsewhere in Spain, Catalonia has erupted into chaos and hatred toward the clergy. The burning of convents have become frequent occurrences, and resistance against Carlism from the most liberal sectors is growing rapidly. On the 19th, due to these burnings, members of an urban militia from Tarragona participated in combat with a Carlist contingent. Seven people were arrested, tortured and killed by the Carlists. Catalonia has fallen again to intense conflict over the future of the Spanish monarchy.;;;;;;;;;;;;;
PRAGMATICSANCTION1830;\n\nToday, the Spanish government has published the contents of the 1789 Pragmatic Sanction, passed in that year unanimously by the court, which reinstates the traditional system of succession and abandons that which Felipe V introduced in 1713. From the year of its passing until now, the Sanction never would be revealed to the public and, therefore, had no legal validity. After the death of his third wife, Maria Josepha Amalia of Saxony, King Fernando VII announced in September 1829 that he would marry again. He chose the Neapolitan princess María Cristina of Bourbon-Two Sicilies as his bride, despite her being his niece and twenty-two years his younger. They married on December 10th that year. A few months later Fernando would declare the Pragmatic Sanction of 1789 fully in effect, ensuring that his eldest child—even if they were a girl—would succeed him. The decree has produced discontent among those would desire Carlos María Isidro, Fernando’s brother, to succeed to the throne—thus creating the Carlist movement. §RThis event decides whether you go carlist.§!;;;;;;;;;;;;;
ANTICLERICALRIOTS1835;\n\nA series of riots against the clergy, inspired by the massacre of friars in Madrid produced a year ago, have begun to sow chaos in Aragon, Valencia, and Catalonia. The violence is motivated by the clergy's support for Carlism and its work to suppress liberalism. By order of Valencia’s captain general, the archbishop of Barcelona left the country with a military escort and took refuge in Bordeaux, France. He escaped before being able to see the violence reach new heights of bloodshed, with no end in sight.;;;;;;;;;;;;;
ANTICLERICALRIOTS1835OPT;That was unnecessary.;;;;;;;;;;;;;
ROYALSTATUTE1834;\n\nRegent María Cristina de Borbón has issued a new Royal degree to overhaul Spain's federal government. The decree introduces a bicameral legislature to Spain. It consists of the Estate of Próceres, whose members will be appointed by royalty and the high nobility, and an Estate of Solicitors, whose members will be elected by a vote of 16,000 people, less than 2% of the country's population. The decree clearly takes inspiration from the British parliamentary system. Being conservative in nature, the statute has pleased both reactionaries and conservatives, among them Carlists.;;;;;;;;;;;;;
ROYALSTATUTE1834OPT;Finally something good coming from the regent.;;;;;;;;;;;;;
FERNANDODIED;\n\nA capable and popular king, Fernando struggled to preserve the traditional Spanish way of life. After a reign of 25 years which began in 1808 when his father, Charles IV, abdicated, seeing the Napoleonic Wars and the collapse of the viceroyalties, King Ferdinand VII has died today at the age of 49. Somewhat famous for inbreeding, the genetics of the Spanish house of Bourbon cursed Fernando to, despite having been married four times since 1802, have difficulty in having children. Indeed, his parents were cousins, his first marriage was to a cousin and his second and fourth marriages to nieces. Finally, in 1830, Isabel II was born and designated as his heir by the Pragmatic Sanction. However, as his brother, Carlos María Isidro de Borbón, has refused to accept Isabel II's legitimacy, his death has left a succession crisis behind - with one of the factions, the Carlists, already beginning to show signs of an impending rebellion.;;;;;;;;;;;;;
